 time            v(Vout)         v(V1)          
 2.70450000e-06  4.74363216e-01  5.00000000e-01 
 2.70550000e-06  4.74463471e-01  5.00000000e-01 
 2.70650000e-06  4.74563406e-01  5.00000000e-01 
 2.70750000e-06  4.74663024e-01  5.00000000e-01 
 2.70850000e-06  4.74762327e-01  5.00000000e-01 
 2.70950000e-06  4.74861316e-01  5.00000000e-01 
 2.71050000e-06  4.74959992e-01  5.00000000e-01 
 2.71150000e-06  4.75058358e-01  5.00000000e-01 
 2.71250000e-06  4.75156415e-01  5.00000000e-01 
 2.71350000e-06  4.75254164e-01  5.00000000e-01 
 2.71450000e-06  4.75351608e-01  5.00000000e-01 
 2.71550000e-06  4.75448747e-01  5.00000000e-01 
 2.71650000e-06  4.75545584e-01  5.00000000e-01 
 2.71750000e-06  4.75642119e-01  5.00000000e-01 
 2.71850000e-06  4.75738356e-01  5.00000000e-01 
 2.71950000e-06  4.75834294e-01  5.00000000e-01 
 2.72050000e-06  4.75929936e-01  5.00000000e-01 
 2.72150000e-06  4.76025282e-01  5.00000000e-01 
 2.72250000e-06  4.76120336e-01  5.00000000e-01 
 2.72350000e-06  4.76215098e-01  5.00000000e-01 
 2.72450000e-06  4.76309569e-01  5.00000000e-01 
 2.72550000e-06  4.76403752e-01  5.00000000e-01 
 2.72650000e-06  4.76497647e-01  5.00000000e-01 
 2.72750000e-06  4.76591256e-01  5.00000000e-01 
 2.72850000e-06  4.76684581e-01  5.00000000e-01 
 2.72950000e-06  4.76777622e-01  5.00000000e-01 
 2.73050000e-06  4.76870382e-01  5.00000000e-01 
 2.73150000e-06  4.76962862e-01  5.00000000e-01 
 2.73250000e-06  4.77055063e-01  5.00000000e-01 
 2.73350000e-06  4.77146986e-01  5.00000000e-01 
 2.73450000e-06  4.77238634e-01  5.00000000e-01 
 2.73550000e-06  4.77330006e-01  5.00000000e-01 
 2.73650000e-06  4.77421106e-01  5.00000000e-01 
 2.73750000e-06  4.77511933e-01  5.00000000e-01 
 2.73850000e-06  4.77602490e-01  5.00000000e-01 
 2.73950000e-06  4.77692777e-01  5.00000000e-01 
 2.74050000e-06  4.77782797e-01  5.00000000e-01 
 2.74150000e-06  4.77872550e-01  5.00000000e-01 
 2.74250000e-06  4.77962038e-01  5.00000000e-01 
 2.74350000e-06  4.78051261e-01  5.00000000e-01 
 2.74450000e-06  4.78140222e-01  5.00000000e-01 
 2.74550000e-06  4.78228921e-01  5.00000000e-01 
 2.74650000e-06  4.78317361e-01  5.00000000e-01 
 2.74750000e-06  4.78405541e-01  5.00000000e-01 
 2.74850000e-06  4.78493464e-01  5.00000000e-01 
 2.74950000e-06  4.78581130e-01  5.00000000e-01 
 2.75050000e-06  4.78668541e-01  5.00000000e-01 
 2.75150000e-06  4.78755698e-01  5.00000000e-01 
 2.75250000e-06  4.78842602e-01  5.00000000e-01 
 2.75350000e-06  4.78929255e-01  5.00000000e-01 
 2.75450000e-06  4.79015658e-01  5.00000000e-01 
 2.75550000e-06  4.79101811e-01  5.00000000e-01 
 2.75650000e-06  4.79187717e-01  5.00000000e-01 
 2.75750000e-06  4.79273376e-01  5.00000000e-01 
 2.75850000e-06  4.79358789e-01  5.00000000e-01 
 2.75950000e-06  4.79443958e-01  5.00000000e-01 
 2.76050000e-06  4.79528884e-01  5.00000000e-01 
 2.76150000e-06  4.79613568e-01  5.00000000e-01 
 2.76250000e-06  4.79698011e-01  5.00000000e-01 
 2.76350000e-06  4.79782214e-01  5.00000000e-01 
 2.76450000e-06  4.79866179e-01  5.00000000e-01 
 2.76550000e-06  4.79949907e-01  5.00000000e-01 
 2.76650000e-06  4.80033398e-01  5.00000000e-01 
 2.76750000e-06  4.80116655e-01  5.00000000e-01 
 2.76850000e-06  4.80199678e-01  5.00000000e-01 
 2.76950000e-06  4.80282468e-01  5.00000000e-01 
 2.77050000e-06  4.80365026e-01  5.00000000e-01 
 2.77150000e-06  4.80447355e-01  5.00000000e-01 
 2.77250000e-06  4.80529454e-01  5.00000000e-01 
 2.77350000e-06  4.80611325e-01  5.00000000e-01 
 2.77450000e-06  4.80692970e-01  5.00000000e-01 
 2.77550000e-06  4.80774390e-01  5.00000000e-01 
 2.77650000e-06  4.80855586e-01  5.00000000e-01 
 2.77750000e-06  4.80936558e-01  5.00000000e-01 
 2.77850000e-06  4.81017310e-01  5.00000000e-01 
 2.77950000e-06  4.81097841e-01  5.00000000e-01 
 2.78050000e-06  4.81178155e-01  5.00000000e-01 
 2.78150000e-06  4.81258251e-01  5.00000000e-01 
 2.78250000e-06  4.81338132e-01  5.00000000e-01 
 2.78350000e-06  4.81417800e-01  5.00000000e-01 
 2.78450000e-06  4.81497256e-01  5.00000000e-01 
 2.78550000e-06  4.81576503e-01  5.00000000e-01 
 2.78650000e-06  4.81655544e-01  5.00000000e-01 
 2.78750000e-06  4.81734380e-01  5.00000000e-01 
 2.78850000e-06  4.81813015e-01  5.00000000e-01 
 2.78950000e-06  4.81891452e-01  5.00000000e-01 
 2.79050000e-06  4.81969695e-01  5.00000000e-01 
 2.79150000e-06  4.82047750e-01  5.00000000e-01 
 2.79250000e-06  4.82125622e-01  5.00000000e-01 
 2.79350000e-06  4.82203318e-01  5.00000000e-01 
 2.79450000e-06  4.82280848e-01  5.00000000e-01 
 2.79550000e-06  4.82358222e-01  5.00000000e-01 
 2.79650000e-06  4.82435455e-01  5.00000000e-01 
 2.79750000e-06  4.82512565e-01  5.00000000e-01 
 2.79850000e-06  4.82588423e-01  5.00000000e-01 
 2.79950000e-06  4.82664060e-01  5.00000000e-01 
 2.80050000e-06  4.82739605e-01  5.00000000e-01 
 2.80150000e-06  4.82815038e-01  5.00000000e-01 
 2.80250000e-06  4.82890341e-01  5.00000000e-01 
 2.80350000e-06  4.82965504e-01  5.00000000e-01 
 2.80450000e-06  4.83040518e-01  5.00000000e-01 
 2.80550000e-06  4.83115375e-01  5.00000000e-01 
 2.80650000e-06  4.83190072e-01  5.00000000e-01 
 2.80750000e-06  4.83264604e-01  5.00000000e-01 
 2.80850000e-06  4.83338968e-01  5.00000000e-01 
 2.80950000e-06  4.83413161e-01  5.00000000e-01 
 2.81050000e-06  4.83487182e-01  5.00000000e-01 
 2.81150000e-06  4.83561029e-01  5.00000000e-01 
 2.81250000e-06  4.83634701e-01  5.00000000e-01 
 2.81350000e-06  4.83708196e-01  5.00000000e-01 
 2.81450000e-06  4.83781514e-01  5.00000000e-01 
 2.81550000e-06  4.83854655e-01  5.00000000e-01 
 2.81650000e-06  4.83927618e-01  5.00000000e-01 
 2.81750000e-06  4.84000402e-01  5.00000000e-01 
 2.81850000e-06  4.84073008e-01  5.00000000e-01 
 2.81950000e-06  4.84145435e-01  5.00000000e-01 
 2.82050000e-06  4.84217684e-01  5.00000000e-01 
 2.82150000e-06  4.84289754e-01  5.00000000e-01 
 2.82250000e-06  4.84361646e-01  5.00000000e-01 
 2.82350000e-06  4.84433359e-01  5.00000000e-01 
 2.82450000e-06  4.84504895e-01  5.00000000e-01 
 2.82550000e-06  4.84576253e-01  5.00000000e-01 
 2.82650000e-06  4.84647434e-01  5.00000000e-01 
 2.82750000e-06  4.84718437e-01  5.00000000e-01 
 2.82850000e-06  4.84789265e-01  5.00000000e-01 
 2.82950000e-06  4.84859917e-01  5.00000000e-01 
 2.83050000e-06  4.84930393e-01  5.00000000e-01 
 2.83150000e-06  4.85000694e-01  5.00000000e-01 
 2.83250000e-06  4.85070822e-01  5.00000000e-01 
 2.83350000e-06  4.85140775e-01  5.00000000e-01 
 2.83450000e-06  4.85210555e-01  5.00000000e-01 
 2.83550000e-06  4.85280162e-01  5.00000000e-01 
 2.83650000e-06  4.85349598e-01  5.00000000e-01 
 2.83750000e-06  4.85418861e-01  5.00000000e-01 
 2.83850000e-06  4.85487954e-01  5.00000000e-01 
 2.83950000e-06  4.85556877e-01  5.00000000e-01 
 2.84050000e-06  4.85625631e-01  5.00000000e-01 
 2.84150000e-06  4.85694215e-01  5.00000000e-01 
 2.84250000e-06  4.85762631e-01  5.00000000e-01 
 2.84350000e-06  4.85830879e-01  5.00000000e-01 
 2.84450000e-06  4.85898961e-01  5.00000000e-01 
 2.84550000e-06  4.85966875e-01  5.00000000e-01 
 2.84650000e-06  4.86034625e-01  5.00000000e-01 
 2.84750000e-06  4.86102209e-01  5.00000000e-01 
 2.84850000e-06  4.86169628e-01  5.00000000e-01 
 2.84950000e-06  4.86236884e-01  5.00000000e-01 
 2.85050000e-06  4.86303977e-01  5.00000000e-01 
 2.85150000e-06  4.86370907e-01  5.00000000e-01 
 2.85250000e-06  4.86437675e-01  5.00000000e-01 
 2.85350000e-06  4.86504281e-01  5.00000000e-01 
 2.85450000e-06  4.86570728e-01  5.00000000e-01 
 2.85550000e-06  4.86637013e-01  5.00000000e-01 
 2.85650000e-06  4.86703140e-01  5.00000000e-01 
 2.85750000e-06  4.86769107e-01  5.00000000e-01 
 2.85850000e-06  4.86834917e-01  5.00000000e-01 
 2.85950000e-06  4.86900568e-01  5.00000000e-01 
 2.86050000e-06  4.86966063e-01  5.00000000e-01 
 2.86150000e-06  4.87031401e-01  5.00000000e-01 
 2.86250000e-06  4.87096584e-01  5.00000000e-01 
 2.86350000e-06  4.87161610e-01  5.00000000e-01 
 2.86450000e-06  4.87226483e-01  5.00000000e-01 
 2.86550000e-06  4.87291201e-01  5.00000000e-01 
 2.86650000e-06  4.87355766e-01  5.00000000e-01 
 2.86750000e-06  4.87420177e-01  5.00000000e-01 
 2.86850000e-06  4.87484437e-01  5.00000000e-01 
 2.86950000e-06  4.87548544e-01  5.00000000e-01 
 2.87050000e-06  4.87612500e-01  5.00000000e-01 
 2.87150000e-06  4.87676305e-01  5.00000000e-01 
 2.87250000e-06  4.87739961e-01  5.00000000e-01 
 2.87350000e-06  4.87803466e-01  5.00000000e-01 
 2.87450000e-06  4.87866822e-01  5.00000000e-01 
 2.87550000e-06  4.87930030e-01  5.00000000e-01 
